Competitor 1,Competitor 2,Nationality 1,Nationality 2,Round,Poe One Physical,Poe One Artistic,Poe One Interpretive,Goku Physical,Goku Artistic,Goku Interpretive,Storm Physical,Storm Artistic,Storm Interpretive,Crazy Legs Physical,Crazy Legs Artistic,Crazy Legs Interpretive,Narumi Physical,Narumi Artistic,Narumi Interpretive,Skim Physical,Skim Artistic,Skim Interpretive,Lil Cesar Physical,Lil Cesar Artistic,Lil Cesar Interpretive,Jeskilz Physical,Jeskilz Artistic,Jeskilz Interpretive,Renegade Physical,Renegade Artistic,Renegade Interpretive
Khalil,El Nino,France,USA,Round 1,2.67,2.67,2.67,3.33,2.33,1.33,-1.67,0,-4,2.67,3,3.33,1.33,0,0,-0.67,3.67,1,-4,2,-1,NA,NA,NA,NA,NA,NA
Khalil,El Nino,France,USA,Round 2,2.67,2.67,2.33,0,4.67,7.67,2.33,0,1.67,3.33,3.67,4,-0.67,0,0,1.67,3,2,5.67,4,-0.67,NA,NA,NA,NA,NA,NA
Victor,Kazuki Rock,USA,Japan,Round 1,2.33,2.33,2.33,3.33,3.33,0,3,-1.67,6.67,4.67,5,5.67,NA,NA,NA,2,3,1.67,10,-1,5,NA,NA,NA,10.67,-4.67,5
Victor,Kazuki Rock,USA,Japan,Round 2,3,2.67,3.33,4.67,-2.33,3.33,7,-2,4,5,28.67,6.67,NA,NA,NA,0,-2.33,-0.67,6,-0.67,3.67,NA,NA,NA,6.33,-5.67,5
Issei,Stripes,Japan,USA,Round 1,2.33,-1.33,-1.67,-4,4.33,-3,0,3,3,-1.67,-3,-3,NA,NA,NA,3.33,-3.33,0.67,-7.33,-1,3.33,NA,NA,NA,4,0,0
Issei,Stripes,Japan,USA,Round 2,2.67,2.67,2.67,5.67,4,2.33,2,1.67,0,4,4,4.33,NA,NA,NA,2,1.33,2.33,6.33,3,-1.67,NA,NA,NA,2,0,0
Issei,Stripes,Japan,USA,Round 3,-2.67,-2.33,-3.33,-1.67,0,-5.67,0,1.33,2.33,-2,-2.33,-2.33,NA,NA,NA,1.67,-1.33,-1,5.33,3.67,-2,NA,NA,NA,-1.33,0,0
Khalil,Victor,France,USA,Round 1,-2.33,-2,2.33,4.67,4.67,-2.33,0,2,2.33,2.33,3.33,3,-1.33,1,0,-0.67,6.33,-2.33,-4,-1,3.33,NA,NA,NA,NA,NA,NA
Khalil,Victor,France,USA,Round 2,-2.33,-4,-2.33,-2.33,-5.67,-7.67,-4,-2,-4.33,-3.67,-3.33,-3.33,-2.67,0,-2.33,-3,-3.33,-2,-4.67,-2.67,2,NA,NA,NA,NA,NA,NA
Khalil,Victor,France,USA,Round 3,-2.33,-2.33,-2,-3,0,-3,-3.33,-2,-3.33,-2.33,-3.33,-3.67,-1.67,0,0,1.67,-2,-1.67,-3,3.33,-3.67,NA,NA,NA,NA,NA,NA
Stripes,Victor,USA,USA,Round 1,-2,-2,-2.33,-3.67,-2,3,-2.67,0,-1.67,-5.33,-3,-3.67,-6.33,-5.67,0,-4.33,-0.67,-2,-2.33,3.33,2.67,NA,NA,NA,NA,NA,NA
Stripes,Victor,USA,USA,Round 2,-3.33,-3,-2.33,-2.33,0,-2,0,2.67,2.33,-3,-4,-4,4.67,0,0,-1,3,-0.67,-4,-0.67,3.67,NA,NA,NA,NA,NA,NA
Stripes,Victor,USA,USA,Round 3,-2.33,-2.33,-2.67,0,0,4,0,0,-3,-2.67,-3.33,-3.33,0,2,0,-1.67,-1.67,-1,-5.67,-2.33,-1.67,NA,NA,NA,NA,NA,NA
